Request: https://finance.yahoo.com/quote/MSFT/financials
Error: Failed with: 301
         461229 function calls (437349 primitive calls) in 0.748 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1431    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     2720    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1680    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     3811    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
   614/10    0.000    0.000    0.210    0.021 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1028    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      576    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
      240    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      752    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
     2062    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
  560/524    0.000    0.000    0.010    0.000 typing.py:392(inner)
      480    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
      240    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      242    0.000    0.000    0.002    0.000 typing_extensions.py:3171(_collect_parameters)
      193    0.000    0.000    0.053    0.000 _parser.py:969(parse)
      447    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      103    0.000    0.000    0.004    0.000 typing.py:694(Union)
     2941    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      860    0.000    0.000    0.001    0.000 {built-in method fromkeys}
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
       34    0.000    0.000    0.003    0.000 enum.py:528(__new__)
       29    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
    240/5    0.000    0.000    0.211    0.042 <frozen importlib._bootstrap_external>:989(exec_module)
       36    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      242    0.000    0.000    0.000    0.000 typing_extensions.py:3086(_has_generic_or_protocol_as_origin)
      421    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
 1308/942    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  269/266    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      720    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       89    0.000    0.000    0.006    0.000 dataclasses.py:449(_create_fn)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      708    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     1154    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      112    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
  213/173    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      193    0.000    0.000    0.032    0.000 _compiler.py:573(_code)
      509    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       84    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      299    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      250    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      807    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
     1584    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      281    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
       51    0.000    0.000    0.001    0.000 typing.py:1123(_generic_init_subclass)
